# driver=pipewire date=2026-06-11T15:34:43+02:00 host=7.0.11-1-cachyos
# wine=c2e5e813b4a
# pipewire=1.6.6
conf_x86_64_mmdevenum_failures	0
conf_x86_64_render_failures	0
conf_x86_64_capture_failures	0
conf_x86_64_dependency_failures	0
conf_x86_64_propstore_failures	6
conf_x86_64_spatialaudio_failures	0
conf_i386_mmdevenum_failures	0
conf_i386_render_failures	0
conf_i386_capture_failures	0
conf_i386_dependency_failures	0
conf_i386_propstore_failures	6
conf_i386_spatialaudio_failures	0
phase_sd_ms	0.006
lwp	7
evt_interval_sd_ms	0.014
evt_interval_p99_ms	10.030
drift_us	0.0
pos_nonmono	0
tone_errors	0
tone_rms	0.1768
tone_freq_hz	440.2
open_p50_us	703
open_p99_us	1816
open_max_us	3721
firstevt_p50_us	10070
firstevt_p99_us	10107
enum_p50_us	0
enum_p99_us	0
churn_errors	0
ws_warmup_kb	27824
ws_final_kb	27904
many_timeouts	0
many_errors	0
cpu_client_pct	5.0
cpu_pwdaemon_pct	1.4
xruns	0
ratechurn_errors	0
ratechurn_tail_freq_hz	440.0
loop_rms	0.1768
loop_tone_ratio	1.000
loop_discont	0
loop_errors	0
